location,AccHalfAng__DEG,RCR,CR,r_a__m,rr_g,rr_ut,rt_g,rgap,length__m,beta__DEG,T_in__K,intensity__Wh__m2,datetime__now
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.3,0.2,0.1,2,18.45,400,795033.444245624,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.1,0.2,0.1,1,33.45,400,764938.963236378,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.2,0.2,0.1,1,33.45,400,764940.1220653,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.3,0.2,0.1,1,33.45,400,764940.122065297,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.1,0.2,0.1,1.5,33.45,400,855729.801900676,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.2,0.2,0.1,1.5,33.45,400,804245.551535302,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.3,0.2,0.1,1.5,33.45,400,804245.551535301,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.1,0.2,0.1,2,33.45,400,881305.72328651,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.2,0.2,0.1,2,33.45,400,827273.418576778,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.3,0.2,0.1,2,33.45,400,827273.41857678,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.1,0.2,0.1,1,33.45,400,763656.798455191,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.2,0.2,0.1,1,33.45,400,763657.94648518,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.3,0.2,0.1,1,33.45,400,763657.94648518,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.1,0.2,0.1,1.5,33.45,400,867247.329918258,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.2,0.2,0.1,1.5,33.45,400,804626.408738747,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.3,0.2,0.1,1.5,33.45,400,804626.408738745,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.1,0.2,0.1,2,33.45,400,895291.074773753,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.2,0.2,0.1,2,33.45,400,828743.185956568,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.3,0.2,0.1,2,33.45,400,828743.185956572,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.1,0.2,0.1,1,33.45,400,763875.346807083,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.2,0.2,0.1,1,33.45,400,763876.583651175,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.3,0.2,0.1,1,33.45,400,763876.58365117,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.1,0.2,0.1,1.5,33.45,400,876835.030635961,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.2,0.2,0.1,1.5,33.45,400,806185.015439263,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.3,0.2,0.1,1.5,33.45,400,806185.015439262,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.1,0.2,0.1,2,33.45,400,907029.531522421,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.2,0.2,0.1,2,33.45,400,831116.191706425,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.3,0.2,0.1,2,33.45,400,831116.191706421,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.1,0.2,0.1,1,48.45,400,711546.96759188,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.2,0.2,0.1,1,48.45,400,711548.101365016,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.3,0.2,0.1,1,48.45,400,711548.101365015,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.1,0.2,0.1,1.5,48.45,400,797911.963612417,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.2,0.2,0.1,1.5,48.45,400,749972.084672195,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.3,0.2,0.1,1.5,48.45,400,749972.084672197,736077.107809988
