location,AccHalfAng__DEG,RCR,CR,r_a__m,rr_g,rr_ut,rt_g,rgap,length__m,beta__DEG,T_in__K,intensity__Wh__m2,datetime__now
PHOENIX SKY HARBOR INTL AP,69.136337325396,0.500009996908235,1.0717425764556,0.049999990174938,1.41506809743346,0.399988347634349,0.200000065890828,1.09968807684124e-05,2,29.4113953807523,433,811730.029618489,736082.65846647
LOS ANGELES INTL ARPT,78.9952596568483,0.749995804475016,1.09131539346955,0.0499999968634254,1.55390946346856,0.399881540420131,0.200000005990748,3.91137899881434e-07,2,28.6844911177019,433,612349.867759298,736082.657635729
INDIANAPOLIS INTL AP,70.9667813675289,0.500009996781685,1.08077117086553,0.0499999999154041,1.54119076094656,0.389194583297273,0.20000000081878,6.08211252791836e-07,2,29.6621050961289,433,443060.547048054,736082.655447222
PHOENIX SKY HARBOR INTL AP,70.9252553180284,0.500062404679103,1.06444825585445,0.0499999925836121,1.40790303512785,0.301208192695433,0.20000011746569,1.93842601281159e-05,2,30.3513423573365,433,811334.873452008,736082.652161817
ATLANTA HARTSFIELD INTL AP,66.0292512220963,0.500065356294826,1.10210472691158,0.0499999965820008,1.55061791523029,0.200000048809793,0.200000000112847,3.0933903529501e-08,2,28.7661144828045,453,521247.491319995,736082.650078021
LOS ANGELES INTL ARPT,70.4565587936061,0.49958122429032,1.07323185842507,0.0426195369384323,1.46754152180631,0.369451438228935,0.200000130740745,4.5938742817597e-06,2,27.716223280936,433,586637.275184958,736082.648870289
INDIANAPOLIS INTL AP,70.9774811949025,0.500689550438331,1.08080609220563,0.0499999999154441,1.54089919161004,0.389192821002313,0.200000000817956,6.06268525561447e-07,2,29.661555223818,433,443022.322146319,736082.64709559
PHOENIX SKY HARBOR INTL AP,79.9999990592499,0.749664804370708,1.06115114447953,0.0499999995623574,1.40000998422587,0.399977435988761,0.200000005772262,4.75089499136408e-05,2,30.2569143368561,413,897869.009348392,736082.645306678
ATLANTA HARTSFIELD INTL AP,69.95,0.502149424224559,1.09319809727106,0.0400307731566326,1.50407047114526,0.290005670299503,0.469410965843975,0.101050478579283,2,25.8285834216956,433,469796.992510164,736082.641494421
PHOENIX SKY HARBOR INTL AP,79.9999990592506,0.749664808590093,1.06115069743713,0.0499999995623577,1.4000073461152,0.399977434828109,0.200000005772257,4.75089595194963e-05,2,30.2569062849414,413,897856.930215114,736082.641310058
LOS ANGELES INTL ARPT,79.9780508484513,0.500009997127058,1.04103132178417,0.0499999967668375,1.40189741711196,0.367263559894311,0.200000050747112,5.95013220416431e-08,2,27.7331712149432,413,683592.877914874,736082.6407339
